DATAFLOW,LAST UPDATE,freq,nrg_bal,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,DE,2014,31733.132,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,DE,2015,31573.497,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,DE,2016,28495.869,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,DE,2017,28962.022,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,DE,2018,36084.569,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,DE,2019,37644.775,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,DE,2020,41458.500,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,DE,2021,39557.370,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,DK,2013,1684.191,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,DK,2014,1795.272,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,DK,2015,1904.553,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,DK,2016,2480.658,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,DK,2017,3662.159,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,DK,2018,3598.684,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,DK,2019,3603.874,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,DK,2020,5466.973,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,DK,2021,8364.301,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,EE,2013,3824.492,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,EE,2014,4503.238,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,EE,2015,5015.676,
ESTAT:NRG_BAL_C(1.0),28/04/23 11:00:00,A,EXP,BIOE,GWH,EE,2016,6357.500,
